Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1040570,-,-,-,35.09,-81.06,-5,191,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,14,30,0,11,11,13,16,980,87.31,236.2,2.1,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,15,30,0,8,8,13,15,980,91.41,233.7,1.9,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,16,30,520,38,117,13,14,980,96.04,228.2,1.3,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,17,30,0,0,0,11,12,980,100,226.8,0.9,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,18,30,0,0,0,11,11,980,100,226,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,19,30,0,0,0,11,11,980,100,229,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,20,30,0,0,0,11,11,980,100,235.2,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,21,30,0,0,0,9,10,980,100,238.3,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,22,30,0,0,0,9,10,980,100,243.8,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,23,30,0,0,0,9,9,980,100,246.5,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,0,30,0,0,0,9,9,980,100,246.5,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,1,30,0,0,0,8,9,980,100,245.6,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,2,30,0,0,0,8,8,980,100,250.4,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,3,30,0,0,0,8,8,980,100,263.7,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,4,30,0,0,0,8,8,980,100,276.3,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,5,30,0,0,0,8,8,980,100,292.2,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,6,30,0,0,0,8,8,980,100,305.1,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,7,30,0,0,0,7,8,980,99.11,305.5,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,8,30,250,57,97,7,10,980,86.7,303.1,1.2,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,9,30,383,107,228,7,12,980,74.46,309,1.9,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,10,30,22,166,176,6,13,980,63.84,321.7,2.4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,11,30,286,220,366,5,13,980,58.98,324,2.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,12,30,377,217,419,4,13,980,58.86,324.1,2.4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,13,30,425,193,409,2,12,980,53.65,323.8,2.2,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,14,30,491,142,354,1,11,980,51.53,323.4,2.1,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,15,30,470,96,243,0,10,980,49.5,323,1.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,16,30,354,50,105,0,8,980,56.06,322.1,1,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,17,30,0,0,0,0,6,980,67.38,321.2,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,18,30,0,0,0,0,5,990,70.35,322.3,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,19,30,0,0,0,0,4,990,73.47,322,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,20,30,0,0,0,0,4,990,71.63,321.7,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,21,30,0,0,0,0,3,990,74.99,325,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,22,30,0,0,0,-1,3,990,78.39,329,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,23,30,0,0,0,-1,2,990,76.37,334.6,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,0,30,0,0,0,-2,1,990,79.89,342.3,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
