Electricty [kW],Heating demand [kW]
524.690065,538.8698833
640.4986763,588.6989805
707.1876089,662.0473469
699.1560593,735.0560151
654.0446971,786.9444481
572.876086,856.6106789
505.8998161,966.6835258
408.8712954,967.8430078
388.1856214,1040.803877
372.5754519,1041.233707
380.5220216,1090.023725
391.0181579,1141.196305
411.8460436,1164.157717
479.7314943,1227.167939
525.8078313,1064.317751
488.4923918,986.9047972
390.7481236,774.604686
364.5463367,675.8146355
335.1718004,528.5272706
333.4645817,536.7567675
308.7995367,448.9206909
316.4757425,476.3018103
333.758503,487.515855
392.5585911,498.9808016
522.3159767,564.6747177
626.4166853,561.4098524
685.7685959,602.1359545
667.5719065,630.6864947
617.445793,661.1774426
532.2305025,705.3777781
449.2330683,731.2172094
360.8734621,754.8739452
327.6614407,772.2403008
310.679622,766.6954072
303.1955689,747.0926714
298.7108528,731.9784141
313.2726456,727.420934
364.3699456,716.0948545
457.1301695,760.7663881
423.0290875,697.2629932
366.5686251,667.9580995
366.9214962,686.9441474
353.0587491,608.414054
334.8565772,543.2848044
317.3153754,487.1109788
316.3494817,476.0335368
330.2968051,472.4545112
388.6999043,482.191557
509.3612694,507.5433873
605.1296853,467.2601929
659.9662412,488.0224793
640.5432442,511.2208158
581.2141102,500.8034635
479.1033214,469.9431695
386.4473256,452.9848484
279.1031074,434.1632196
237.2777533,408.8484794
215.4404775,381.6237006
205.5070703,350.8454065
210.4160402,376.3463387
218.8262022,352.2954155
266.0536188,378.0699717
325.3026641,369.1543174
295.2872296,331.4426956
265.5965106,326.3765636
261.5094556,311.3643445
250.0497132,244.3319717
239.6130977,212.9313035
216.1464967,130.0565231
202.1341337,73.79262755
202.2008546,26.41843473
241.965444,11.97985052
334.4300912,32.82712087
423.7787516,34.868791
500.2482269,62.65293311
522.9954465,93.09610489
473.4364902,106.4407944
391.1560935,143.9549584
313.8897096,183.3873253
231.2986649,222.7189179
204.7042354,265.3606847
195.738024,295.5328018
197.5286918,316.9898931
199.3174788,328.574847
213.0469734,328.1869374
253.2844002,322.694702
317.0408139,333.8475771
288.805283,303.8835719
259.525098,300.45517
258.6524098,299.6693878
256.5099665,274.056824
241.4725811,221.8675644
236.4378449,221.3733094
231.1089319,203.8985916
239.5383489,193.9616456
276.5173498,167.0160983
360.515092,149.9166642
450.6168987,155.3442544
524.1752811,170.0743974
544.7724939,190.8859444
505.6346457,250.9489658
423.8155083,290.5346772
351.3395572,351.4441677
256.8754043,337.5389206
233.6634868,395.3941408
220.7168527,407.7326486
220.1056691,418.4375055
225.4718728,446.0763149
240.54889,451.7055158
290.9223572,491.6434107
352.2973196,492.040706
316.8035713,429.4802247
281.9018525,400.8962781
279.9957462,395.4817024
267.338316,322.7373251
258.5142382,298.3858046
234.836687,214.2703736
231.0370572,203.6683588
228.2661165,143.4692373
272.009568,146.872395
366.5853234,177.2264797
456.9278309,183.7051407
526.0837685,178.6886946
545.392939,193.7367953
499.7530944,224.6764279
414.623617,249.4512015
332.6565852,267.8413502
247.7317486,289.8824373
214.270537,304.5621393
203.578362,328.4908583
201.9184162,335.8320174
202.6994744,341.580649
216.9943312,342.2565811
258.5423398,335.8234323
327.289669,358.3826453
298.4984703,314.0796758
265.0357717,278.6936328
272.9437224,311.1818975
265.8168528,261.4657478
261.7431217,263.3054276
258.0553341,273.2876502
255.430061,272.6188624
264.9316954,269.6461035
307.2047546,267.6743712
400.2564301,291.8424417
484.02746,269.8930081
547.2134773,238.1106952
559.3289181,220.2375713
501.0417223,193.6260541
406.7203854,184.8378248
313.3000554,165.1974307
221.4560893,172.4952793
183.8431814,168.5055009
167.3879593,166.5337142
159.7627814,147.0711971
156.9495634,136.6674765
170.7822464,135.2717022
215.9114844,144.9565177
277.0123015,133.1387364
251.7569753,104.5803542
222.3895957,87.46096361
219.2310315,70.13470946
219.9830432,55.74695263
205.7084649,11.52020846
197.2540001,0
194.7841979,0
205.861028,4.110680256
247.6722929,0
352.4343354,77.09314937
447.9861994,108.2185064
528.2009912,153.0972728
553.1290304,192.8456427
509.8103831,233.547861
424.3596275,264.6442142
341.7739291,293.7072046
252.7221956,320.4463035
221.0380538,340.3448261
214.7424106,382.6646322
213.9903458,392.7353901
218.2895329,415.6298573
233.7598958,423.0374134
274.1874643,418.2819101
344.7230579,459.9244935
318.1358615,437.1634487
278.630211,387.505126
282.5441207,408.1792636
272.4764623,346.7805509
271.3204285,356.8031446
264.8651111,349.8795477
260.1472028,335.0641246
260.7906596,290.0671206
299.3127894,269.984924
384.8005877,259.5233553
472.483774,254.0243458
547.5588923,275.5570324
571.2960386,310.4555159
527.0584352,347.6626824
441.8621123,372.1349656
360.8979145,395.0268215
278.8885248,437.0403235
246.5972981,454.1702715
221.1221276,410.2761609
217.5384117,407.6829115
212.7963437,389.9857052
226.5193284,389.5829244
267.461682,387.2444436
332.5133781,404.197601
307.4065006,388.1722278
267.017741,334.8088715
263.8413784,323.6307504
273.1047708,349.1683831
266.7169132,335.6315842
260.4126455,329.3802518
258.713069,328.1290376
252.9319144,254.3212309
319.5146588,360.2099099
413.2349069,386.5547734
514.7912211,443.1728269
586.1254894,447.7306144
601.3674808,444.4624142
545.24459,428.3340513
459.1969928,448.9617012
382.7598652,492.0676361
292.9930018,499.1992068
265.3538021,537.1500801
247.3147764,526.6393261
251.7092571,559.7555252
258.5964549,594.1178546
271.1885966,588.5529738
323.0689852,635.1715589
372.9341596,583.9374617
339.4986455,530.664217
299.0136181,477.0568149
298.5208283,477.9120217
288.3066712,416.1677666
269.248143,346.0229911
250.8904126,285.8585392
250.7358364,291.5798897
249.1322145,236.6849097
295.4068409,251.4198119
390.1465419,282.4072913
476.7849716,272.2478545
550.0000726,285.3870812
576.7646532,333.7135127
531.9635812,368.29388
449.2629997,403.8506598
364.0114646,407.4785238
282.7219725,452.6030107
249.6385104,466.1533297
237.2246613,480.8746412
242.6637375,518.6522001
249.5930041,553.187336
266.272997,565.9567065
322.4803204,631.8567387
373.4746113,585.7627458
333.596581,503.790067
301.9540039,489.7883263
300.9616284,488.3963265
284.7362733,399.8137543
270.0300337,349.1909474
267.7770776,361.1254275
266.2426236,360.6371207
279.4862273,372.2268539
317.5758764,350.2918698
420.3717049,417.2826197
502.1930527,385.5669496
583.943717,436.8174124
602.3573597,447.7320688
563.0437991,506.755528
481.484886,547.3255246
408.5333758,605.8742367
327.2044995,650.6713492
289.9304322,645.4503758
283.6557467,687.5655128
288.3868754,722.0278996
283.9009573,705.4967879
304.0649963,733.8458101
362.9483282,811.5536278
415.518532,772.4484199
352.6586791,588.0917266
296.0631798,462.8305654
283.2504293,408.773849
260.6408864,291.8066482
244.3139854,233.9965394
229.2381982,188.5971363
214.5891978,129.4783229
221.5822365,113.1353717
264.4442261,112.5798161
357.7699657,137.2431241
451.2771398,157.8556665
529.5163107,193.4595085
556.6746695,243.518321
515.1788516,292.8423044
428.6127069,311.0952767
353.0905867,358.2316764
263.3533013,358.6513034
223.5301517,344.8039124
211.08423,360.8127469
211.1671784,375.9456123
211.0969416,377.8564007
224.4806642,374.4482077
287.304678,463.2045251
344.9252146,435.8430947
310.7454421,367.6092823
274.777979,321.1691874
272.5384028,308.1228962
271.3370294,285.1139453
270.3408658,300.6815158
270.563114,328.0579528
287.9273758,416.7301196
303.7781927,442.0614734
351.8220383,465.7972695
456.7875398,542.8772307
554.9116451,584.92278
635.3751166,630.2071625
672.6544712,724.4032043
612.0923098,687.6636351
532.3633605,743.9362074
452.4434119,784.4691086
363.469361,804.3496782
331.0386151,823.4536018
317.7103107,835.3441511
315.49237,840.0222104
311.9126488,826.2167305
327.8945242,834.3652884
368.1404604,822.1204019
441.5102776,865.0537292
408.7621444,803.2464112
368.5493582,738.0264645
350.6679907,655.3438494
335.5124107,570.270548
316.8356223,506.9978671
292.0707823,422.9343853
278.0730862,371.5677369
282.7812686,347.2389531
326.707866,352.6214524
419.3181792,374.568188
509.4197008,380.9723529
594.0114446,444.8012543
617.1325813,476.0117769
578.717514,538.0937891
487.9592453,545.2021688
416.4872021,623.4708491
340.5145574,708.154188
309.1718499,729.3445823
303.8258917,775.4372398
304.1426338,790.1659477
306.053661,802.198709
320.9462274,806.9809809
361.7447367,803.9945621
406.2883552,729.4988207
362.4651645,630.4181868
311.6069043,530.9894049
295.5797948,462.7416732
272.3447284,343.2959912
255.5147841,283.3978048
235.8913087,217.830434
223.1359471,167.3188139
226.4539428,134.6128403
275.1569775,160.1463481
370.1180817,192.0411721
458.8393453,191.2438692
538.1693833,231.6494087
560.0234189,257.9482767
513.3985404,284.3094996
429.2196674,313.1863852
351.5338577,350.579765
262.5849229,361.3845851
228.9452402,372.405826
222.6711071,414.5566809
227.5431929,449.7348271
227.8666886,454.7490295
242.3473218,457.7433658
279.9077492,440.3521299
350.2388964,480.8369149
315.6837225,422.8899809
284.4630377,410.8754189
287.3149257,426.7823217
275.1809713,356.6800398
256.6873501,289.2482966
