homeid,notification_date,provenancedetail,energytype,daily_standing_charge_pence,unit_charge_pence_per_kwh
259,11/12/2017,in_app,electricity,18,13.25
259,11/12/2017,in_app,gas,16,2.85
260,30/11/2017,in_app,electricity,19,11.34
260,30/11/2017,in_app,gas,18,2.77
261,04/12/2017,in_app,electricity,16,12.69
261,04/12/2017,in_app,gas,22,3.22
262,04/12/2017,in_app,electricity,17,13.99
262,04/12/2017,in_app,gas,17,3.14
263,06/12/2017,in_app,electricity,16,12.7
263,06/12/2017,in_app,gas,22,3.22
264,06/12/2017,in_app,electricity,25,12.53
264,06/12/2017,in_app,electricity,24,12.53
264,06/12/2017,in_app,gas,21,2.1
265,11/12/2017,in_app,electricity,25,12.25
265,11/12/2017,in_app,gas,25,2.47
266,07/12/2017,in_app,electricity,36,21.41
266,07/12/2017,in_app,electricity,36,16.16
266,07/12/2017,in_app,gas,26,4.92
266,07/12/2017,in_app,gas,26,4.05
267,07/12/2017,in_app,electricity,16,13.45
267,07/12/2017,in_app,gas,22,4.18
267,07/12/2017,in_app,gas,16,13.45
268,08/12/2017,in_app,electricity,27,15
268,08/12/2017,in_app,gas,26,3.98
269,08/12/2017,in_app,electricity,28,14.99
269,08/12/2017,in_app,electricity,27,14.28
269,08/12/2017,in_app,gas,24,3.14
270,09/01/2018,in_app,electricity,0,0.15
270,09/01/2018,in_app,gas,0,0.11
271,15/12/2017,in_app,electricity,16,12.7
271,15/12/2017,in_app,gas,22,3.22
272,15/12/2017,in_app,electricity,0,17.09
272,15/12/2017,in_app,gas,0,3.86
273,14/12/2017,in_app,electricity,30,15.62
273,14/12/2017,in_app,gas,30,3.59
274,18/12/2017,in_app,electricity,26,16.51
274,18/12/2017,in_app,gas,27,4.13
275,18/12/2017,in_app,electricity,19,15.27
275,18/12/2017,in_app,gas,19,3.5
276,19/12/2017,in_app,electricity,26,3.75
276,19/12/2017,in_app,electricity,26,12.45
276,19/12/2017,in_app,gas,26,3.75
277,19/12/2017,in_app,electricity,19,15.45
277,19/12/2017,in_app,gas,6,3.87
277,19/12/2017,in_app,gas,19,3.87
278,29/12/2017,in_app,electricity,15,16.4
278,29/12/2017,in_app,gas,27,3.29
279,20/12/2017,in_app,electricity,28,15.5
279,20/12/2017,in_app,gas,30,4.01
280,22/12/2017,in_app,electricity,29,12.87
280,22/12/2017,in_app,gas,21,2.73
281,08/01/2018,in_app,electricity,16,14.48
281,08/01/2018,in_app,gas,22,2.92
281,20/04/2018,in_app,electricity,26,15.23
281,20/04/2018,in_app,gas,26,2.87
282,11/01/2018,in_app,electricity,26,12.87
282,11/01/2018,in_app,electricity,25,12.26
282,11/01/2018,in_app,gas,26,2.59
282,11/01/2018,in_app,gas,25,2.47
283,12/01/2018,in_app,electricity,29,11.63
283,12/01/2018,in_app,gas,25,30.28
283,20/01/2018,in_app,electricity,29,11.63
283,20/01/2018,in_app,gas,30,2.48
284,18/01/2018,in_app,electricity,25,12.26
284,18/01/2018,in_app,gas,25,2.47
285,18/01/2018,in_app,electricity,17,13.34
285,18/01/2018,in_app,electricity,16,12.7
285,18/01/2018,in_app,gas,22,3.13
286,22/01/2018,in_app,electricity,17,13.48
286,22/01/2018,in_app,gas,23,3.39
287,31/01/2018,in_app,electricity,23,12.92
287,31/01/2018,in_app,gas,15,3.04
289,05/02/2018,in_app,electricity,27,16.35
289,05/02/2018,in_app,gas,27,4.14
290,05/02/2018,in_app,electricity,33,14.18
290,05/02/2018,in_app,gas,33,3.25
291,25/01/2018,in_app,electricity,21,3.12
291,25/01/2018,in_app,electricity,23,12.59
291,25/01/2018,in_app,gas,22,3.27
291,25/01/2018,in_app,gas,21,3.12
292,25/01/2018,in_app,electricity,8,17.75
292,25/01/2018,in_app,gas,26,3.75
294,12/02/2018,in_app,electricity,25,12.25
294,12/02/2018,in_app,gas,25,2.47
300,20/05/2018,in_app,electricity,15,4.31
300,20/05/2018,in_app,gas,16,4.08
307,21/05/2018,in_app,electricity,23,12.18
307,21/05/2018,in_app,gas,23,2.47
319,31/05/2018,in_app,electricity,24,14.77
319,31/05/2018,in_app,electricity,21,14.07
319,31/05/2018,in_app,electricity,22,14.07
319,31/05/2018,in_app,gas,4,23
319,31/05/2018,in_app,gas,21,3.53
319,31/05/2018,in_app,gas,23,3.71
319,31/05/2018,in_app,gas,22,3.53
320,01/05/2018,in_app,electricity,29,14.43
320,01/05/2018,in_app,gas,29,3.12
321,05/06/2018,in_app,electricity,19,3.75
321,05/06/2018,in_app,gas,20,15.16
332,30/04/2018,in_app,electricity,15,16.39
332,30/04/2018,in_app,gas,15,4.19
334,30/04/2018,in_app,electricity,18,11.97
334,30/04/2018,in_app,gas,19,2.88
334,30/04/2018,in_app,gas,18,2.75
335,30/04/2018,in_app,electricity,16,13.43
335,30/04/2018,in_app,gas,22,2.9
