charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge,,,,,
0,0,9.518143386,443.0816065,0.030041,0.028468,Charge+++++,,,,,
0,6.853063238,1.903628677,353.2304113,0.030041,0.030602,Discharge-----,,,,,
0,0,1.903628677,315.7086707,0.030041,0.031856,Discharge-----,,,,,
0,0,1.903628677,299.0682006,0.030041,0.032054,Discharge-----,,,,,
0,0,1.903628677,298.2930688,0.030041,0.032032,Discharge-----,,,,,
0,0,1.903628677,301.0897039,0.030041,0.032065,Discharge-----,,,,,
0,0,1.903628677,330.7446734,0.030041,0.032076,Discharge-----,,,,,
0,0,1.903628677,396.1103333,0.030041,0.032087,Discharge-----,,,,,
0,0,1.903628677,471.8564351,0.030041,0.032043,Discharge-----,,,,,
0,0,1.903628677,448.8635014,0.030041,0.032065,Discharge-----,,,,,
0,0,1.903628677,380.2774065,0.030041,0.032098,Discharge-----,,,,,
0,0,1.903628677,386.8822183,0.030041,0.03234,Discharge-----,,,,,
0,0,1.903628677,390.5550654,0.030041,0.032527,Discharge-----,,,,,
0,0,1.903628677,373.4045714,0.030041,0.032318,Discharge-----,,,,,
0,0,1.903628677,348.2203669,0.030041,0.032043,Discharge-----,,,,,
0,0,1.903628677,337.8511614,0.030041,0.03146,Discharge-----,,,,,
0,0,1.903628677,329.9094339,0.030041,0.030701,Discharge-----,,,,,
7.614514708,0,9.518143386,380.7825128,0.030041,0.028897,Charge+++++,,,,,
0,0,9.518143386,503.9877966,0.030041,0.026719,Charge+++++,,,,,
0,0,9.518143386,604.839894,0.030052,0.024387,Charge+++++,,,,,
0,0,9.518143386,661.0897177,0.030052,0.019877,Charge+++++,,,,,
0,0,9.518143386,644.8158469,0.030052,0.019118,Charge+++++,,,,,
0,0,9.518143386,596.1343319,0.030052,0.019173,Charge+++++,,,,,
0,0,9.518143386,509.2437926,0.030052,0.025839,Charge+++++,,,,,
0,0,9.518143386,426.9113022,0.030052,0.027478,Charge+++++,,,,,
0,6.853063238,1.903628677,343.4604025,0.030052,0.031119,Discharge-----,,,,,
0,0,1.903628677,312.5827757,0.030052,0.032351,Discharge-----,,,,,
0,0,1.903628677,301.1589883,0.030052,0.032758,Discharge-----,,,,,
0,0,1.903628677,299.0261382,0.030052,0.03245,Discharge-----,,,,,
0,0,1.903628677,300.1177174,0.030052,0.032494,Discharge-----,,,,,
0,0,1.903628677,315.4484417,0.030052,0.03245,Discharge-----,,,,,
0,0,1.903628677,366.8791705,0.030052,0.032417,Discharge-----,,,,,
0,0,1.903628677,458.3415923,0.030052,0.03245,Discharge-----,,,,,
0,0,1.903628677,404.9908156,0.030052,0.032505,Discharge-----,,,,,
0,0,1.903628677,327.2649682,0.030052,0.032604,Discharge-----,,,,,
0,0,1.903628677,308.142394,0.030052,0.033253,Discharge-----,,,,,
